run_id,architecture,seed,run_source_commit,evidence_commit,manifest_source_path,manifest_availability,manifest_sha256,best_epoch,best_val_loss,internal_probe_protocol,internal_probe_ap,internal_probe_roc_auc,v3_result_artifact,v3_probe_protocol,frozen_probe_v3_ap,frozen_probe_v3_roc_auc,status
CONF_SEQUENCE_ONLY_seed42_1789413645,SEQUENCE_ONLY,42,47e4ad6,878a3db,experiments/nineplus/confirmatory/CONF_SEQUENCE_ONLY_seed42_1789413645/RUN-MANIFEST.json,AVAILABLE_IN_GIT,1b7eea1cd7c72c9a343ea27c34704caf6cb626b19e8c8fc8e539244ee59496c9,3,0.00921815038938671,TRAINING_INTERNAL_ONLINE_PROBE,0.8993850472022873,0.9972634577897735,experiments/nineplus/evaluation_v3/CONF_SEQUENCE_ONLY_seed42_1789413645/V3-PROBE-RESULT.json,FROZEN_PROBE_V3_STANDARDIZED,1.0,1.0,COMPLETED
CONF_SEQUENCE_ONLY_seed7_1789415728,SEQUENCE_ONLY,7,47e4ad6,878a3db,experiments/nineplus/confirmatory/CONF_SEQUENCE_ONLY_seed7_1789415728/RUN-MANIFEST.json,AVAILABLE_IN_GIT,40333ef722fd0007240eb755ce10f55dab03a75ad820c38990c3733e006a13b6,11,0.006329973731666549,TRAINING_INTERNAL_ONLINE_PROBE,0.9179337231968812,0.9983505772979457,experiments/nineplus/evaluation_v3/CONF_SEQUENCE_ONLY_seed7_1789415728/V3-PROBE-RESULT.json,FROZEN_PROBE_V3_STANDARDIZED,1.0,1.0,COMPLETED
CONF_SEQUENCE_ONLY_seed999_1789420295,SEQUENCE_ONLY,999,47e4ad6,878a3db,experiments/nineplus/confirmatory/CONF_SEQUENCE_ONLY_seed999_1789420295/RUN-MANIFEST.json,AVAILABLE_IN_GIT,1e2aac7ca7d44e573d0eed3c7e4af2c945d42110294730a0212e106412bbbf8d,12,0.007329654794480247,TRAINING_INTERNAL_ONLINE_PROBE,0.7886972199031825,0.9263382816014395,experiments/nineplus/evaluation_v3/CONF_SEQUENCE_ONLY_seed999_1789420295/V3-PROBE-RESULT.json,FROZEN_PROBE_V3_STANDARDIZED,1.0,1.0,COMPLETED
CONF_MULTI_VIEW_ALIGNED_seed42_1789393292,MULTI_VIEW_ALIGNED,42,7bdcade,878a3db,experiments/nineplus/confirmatory/CONF_MULTI_VIEW_ALIGNED_seed42_1789393292/RUN-MANIFEST.json,AVAILABLE_IN_GIT,622f822fa33ead79b10c5f174ee7ded1145adb06d0c9661b53301e6e9f6f2ad5,6,49.17677348610689,TRAINING_INTERNAL_ONLINE_PROBE,0.7031920902215846,0.9319238266606688,experiments/nineplus/evaluation_v3/CONF_MULTI_VIEW_ALIGNED_seed42_1789393292/V3-PROBE-RESULT.json,FROZEN_PROBE_V3_STANDARDIZED,0.7603548460222667,0.9945808966861599,COMPLETED
CONF_MULTI_VIEW_ALIGNED_seed7_1789452137,MULTI_VIEW_ALIGNED,7,1dc6741,878a3db,experiments/nineplus/confirmatory/CONF_MULTI_VIEW_ALIGNED_seed7_1789452137/RUN-MANIFEST.json,LOCAL_EVIDENCE_ONLY,6c66ba82db14cc15451e31f5c9f1e4c001ea956bf5ae0eaaccbd3fe58e0780ba,3,49.009947721892075,TRAINING_INTERNAL_ONLINE_PROBE,0.6082486547586237,0.8899010346378767,experiments/nineplus/evaluation_v3/CONF_MULTI_VIEW_ALIGNED_seed7_1789452137/V3-PROBE-RESULT.json,FROZEN_PROBE_V3_STANDARDIZED,0.6309169340930046,0.8081001649422702,RESULT_JSON_ONLY_IN_GIT
CONF_MULTI_VIEW_ALIGNED_seed999_1789541331,MULTI_VIEW_ALIGNED,999,0cc1752,878a3db,experiments/nineplus/confirmatory/CONF_MULTI_VIEW_ALIGNED_seed999_1789541331/RUN-MANIFEST.json,LOCAL_EVIDENCE_ONLY,b08aefe1bde599f30a9156a900a6b85da3accb649d121ffa7d71c5c3442c4d91,4,48.76588546492652,TRAINING_INTERNAL_ONLINE_PROBE,0.685514079495413,0.8580371869845554,experiments/nineplus/evaluation_v3/CONF_MULTI_VIEW_ALIGNED_seed999_1789541331/V3-PROBE-RESULT.json,FROZEN_PROBE_V3_STANDARDIZED,0.591142804570561,0.7692877492877492,RESULT_JSON_ONLY_IN_GIT
CONF_GRAPH_ONLY_seed42_1789448995,GRAPH_ONLY,42,3e0bcef,878a3db,experiments/nineplus/confirmatory/CONF_GRAPH_ONLY_seed42_1789448995/RUN-MANIFEST.json,AVAILABLE_IN_GIT,1cf5ffb0e2a79f884373aa1883af90ff96cc4fe3bb9e40bd098dbb6ce3d471de,1,6.081352412568631,HISTORICAL_STAGE_A2_INTERNAL_PROBE,0.7090325643599512,0.8052931473984105,NO_V3_RESULT_ARTIFACT,NOT_EVALUATED_V3,,,HISTORICAL_REF_PENDING_AUDIT
CONF_GRAPH_ONLY_seed7_1789449292,GRAPH_ONLY,7,d6fb10b,878a3db,experiments/nineplus/confirmatory/CONF_GRAPH_ONLY_seed7_1789449292/RUN-MANIFEST.json,AVAILABLE_IN_GIT,9f39be85c6bd7fe69c931f595f3f68b6e3efb6b42dfddd66d42deb511d1c926b,12,0.5502585781658642,HISTORICAL_STAGE_A2_INTERNAL_PROBE,0.6177999241864535,0.75157444894287,NO_V3_RESULT_ARTIFACT,NOT_EVALUATED_V3,,,HISTORICAL_REF_PENDING_AUDIT
CONF_GRAPH_ONLY_seed999_1789449583,GRAPH_ONLY,999,d6fb10b,878a3db,experiments/nineplus/confirmatory/CONF_GRAPH_ONLY_seed999_1789449583/RUN-MANIFEST.json,AVAILABLE_IN_GIT,b058185e6fd408d410efeab9a7302ce81d74c18924d3a469cf12b2f1dec5000d,12,0.609499505038375,HISTORICAL_STAGE_A2_INTERNAL_PROBE,0.6814975662013978,0.8857399910031489,NO_V3_RESULT_ARTIFACT,NOT_EVALUATED_V3,,,HISTORICAL_REF_PENDING_AUDIT
